gene_id,pd,r,p.value,qvalue,delta_RPP,contrast,gene_name,gene_biotype
ENSG00000180957,0.0553903689945508,0.000763368532514638,0.00114947653376564,1.96108838481923e-05,-0.0178800237792235,Fip1 v.s. NC,PITPNB,protein_coding
ENSG00000182541,0.0734592239053746,0.0734679163985286,0.53423900838951,0.822822990952939,0.0627834589923215,Fip1 v.s. NC,LIMK2,protein_coding
ENSG00000182944,0.0337919453820983,0.034532553461224,0.436242848986731,0.799516540186239,0.0337919453820984,Fip1 v.s. NC,EWSR1,protein_coding
ENSG00000183172,0.0182713780887228,0.0530490476797093,0.360838035555596,0.553129174216343,0.0182713780887229,Fip1 v.s. NC,SMDT1,protein_coding
ENSG00000183597,0.0750291758932312,0.08527029295684,0.186216541415998,0.397014113184669,0.0750291758932312,Fip1 v.s. NC,TANGO2,protein_coding
ENSG00000184076,0.00313981105990004,-0.00610722000425693,0.643591823992495,1,-0.00223835271338204,Fip1 v.s. NC,UQCR10,protein_coding
ENSG00000184708,0.121187879808569,-0.134355253880944,0.262228084566142,0.418538236327215,-0.121187879808569,Fip1 v.s. NC,EIF4ENIF1,protein_coding
ENSG00000184792,0.0649658994032395,-0.0975899957823402,0.389725181485792,0.608179018582852,-0.0649658994032395,Fip1 v.s. NC,OSBP2,protein_coding
ENSG00000184983,0.0104272609066717,0.00825157970320123,0.514013963852993,0.999996747227658,0.00337249497629048,Fip1 v.s. NC,NDUFA6,protein_coding
ENSG00000185252,0.109547123623011,0.096037901054269,0.606838491783704,0.906997082519803,0.102676087682208,Fip1 v.s. NC,ZNF74,protein_coding
ENSG00000185651,0.103040528209066,0.130328049743431,2.32319352830918e-08,1.20312670939577e-05,0.0750009897443733,Fip1 v.s. NC,UBE2L3,protein_coding
ENSG00000185721,0.0044317130819032,0.0161105654795297,0.75024545675966,1,0.00395945345619822,Fip1 v.s. NC,DRG1,protein_coding
ENSG00000186575,0.0660452832480017,0.0736664288927936,0.464641699263072,0.768869425077289,0.0660452832480017,Fip1 v.s. NC,NF2,protein_coding
ENSG00000186716,0.0934095690629149,0.0965673555754172,0.224415481614723,0.427617614555825,0.0934095690629149,Fip1 v.s. NC,BCR,protein_coding
ENSG00000188130,0.117309767943875,0.125358947370014,0.321169112897665,0.713704073981188,0.112426852896096,Fip1 v.s. NC,MAPK12,protein_coding
ENSG00000188677,0.0797908232118758,-0.0259479709921833,0.612832770115066,1,-0.0107397465234993,Fip1 v.s. NC,PARVB,protein_coding
ENSG00000189060,0.0192327197953848,0.0366733640506893,0.154607488169204,0.152130724952071,0.0128052078269004,Fip1 v.s. NC,H1-0,protein_coding
ENSG00000189306,0.263105048976185,0.267593721840009,0.000122198597753689,6.68984741640048e-06,0.190397497432084,Fip1 v.s. NC,RRP7A,protein_coding
ENSG00000196236,0.170970296182161,0.0508142507396307,0.1583589538683,0.414632741379161,-0.00787322376305427,Fip1 v.s. NC,XPNPEP3,protein_coding
ENSG00000197077,0.060449137094402,-0.105504185200181,0.314773855070758,0.424200380329378,-0.0604491370944019,Fip1 v.s. NC,KIAA1671,protein_coding
ENSG00000198792,0.0594919786096257,0.0305072545841818,0.623537386173806,1,0.0304848015761329,Fip1 v.s. NC,TMEM184B,protein_coding
ENSG00000198832,0.00796450776043299,-0.0192732624705811,0.50084972388518,0.924824700107661,-0.005618907468941,Fip1 v.s. NC,SELENOM,protein_coding
ENSG00000198911,0.0521425632917347,0.0587564419678097,0.240760461595718,0.650271483640332,0.0395949348592027,Fip1 v.s. NC,SREBF2,protein_coding
